ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source,Contactset_ID,Respondent
F-set01-F,set01-F,F,Yes,F-yes,,,set01,
S-set01-F,set01-F,S,set01,S-set01,,,set01,
F-set01-N,set01-N,F,No,F-no,,,set01,
S-set01-N,set01-N,S,set01,S-set01,,,set01,
F-set02-F,set02-F,F,Yes,F-yes,,,set02,
S-set02-F,set02-F,S,set02,S-set02,,,set02,
F-set02-N,set02-N,F,No,F-no,,,set02,
S-set02-N,set02-N,S,set02,S-set02,,,set02,
F-set03-F,set03-F,F,Yes,F-yes,,,set03,
S-set03-F,set03-F,S,set03,S-set03,,,set03,
F-set03-N,set03-N,F,No,F-no,,,set03,
S-set03-N,set03-N,S,set03,S-set03,,,set03,
F-set04-F,set04-F,F,Yes,F-yes,,,set04,
S-set04-F,set04-F,S,set04,S-set04,,,set04,
F-set04-N,set04-N,F,No,F-no,,,set04,
S-set04-N,set04-N,S,set04,S-set04,,,set04,
F-set05-F,set05-F,F,Yes,F-yes,,,set05,
S-set05-F,set05-F,S,set05,S-set05,,,set05,
F-set05-N,set05-N,F,No,F-no,,,set05,
S-set05-N,set05-N,S,set05,S-set05,,,set05,
F-set06a-F,set06a-F,F,Yes,F-yes,,,set06a,
S-set06a-F,set06a-F,S,set06a,S-set06a,,,set06a,
F-set06a-N,set06a-N,F,No,F-no,,,set06a,
S-set06a-N,set06a-N,S,set06a,S-set06a,,,set06a,
F-set07-F,set07-F,F,Yes,F-yes,,,set07,
S-set07-F,set07-F,S,set07,S-set07,,,set07,
F-set07-N,set07-N,F,No,F-no,,,set07,
S-set07-N,set07-N,S,set07,S-set07,,,set07,
F-set08-F,set08-F,F,Yes,F-yes,,,set08,
S-set08-F,set08-F,S,set08,S-set08,,,set08,
F-set08-N,set08-N,F,No,F-no,,,set08,
S-set08-N,set08-N,S,set08,S-set08,,,set08,
F-set09-F,set09-F,F,Yes,F-yes,,,set09,
S-set09-F,set09-F,S,set09,S-set09,,,set09,
F-set09-N,set09-N,F,No,F-no,,,set09,
S-set09-N,set09-N,S,set09,S-set09,,,set09,
F-set10-F,set10-F,F,Yes,F-yes,,,set10,
S-set10-F,set10-F,S,set10,S-set10,,,set10,
F-set10-N,set10-N,F,No,F-no,,,set10,
S-set10-N,set10-N,S,set10,S-set10,,,set10,
F-set11-F,set11-F,F,Yes,F-yes,,,set11,
S-set11-F,set11-F,S,set11,S-set11,,,set11,
F-set11-N,set11-N,F,No,F-no,,,set11,
S-set11-N,set11-N,S,set11,S-set11,,,set11,
F-set12-F,set12-F,F,Yes,F-yes,,,set12,
S-set12-F,set12-F,S,set12,S-set12,,,set12,
F-set12-N,set12-N,F,No,F-no,,,set12,
S-set12-N,set12-N,S,set12,S-set12,,,set12,
F-set13-F,set13-F,F,Yes,F-yes,,,set13,
S-set13-F,set13-F,S,set13,S-set13,,,set13,
F-set13-N,set13-N,F,No,F-no,,,set13,
S-set13-N,set13-N,S,set13,S-set13,,,set13,
F-set14-F,set14-F,F,Yes,F-yes,,,set14,
S-set14-F,set14-F,S,set14,S-set14,,,set14,
F-set14-N,set14-N,F,No,F-no,,,set14,
S-set14-N,set14-N,S,set14,S-set14,,,set14,
F-set15-F,set15-F,F,Yes,F-yes,,,set15,
S-set15-F,set15-F,S,set15,S-set15,,,set15,
F-set15-N,set15-N,F,No,F-no,,,set15,
S-set15-N,set15-N,S,set15,S-set15,,,set15,
F-set16-F,set16-F,F,Yes,F-yes,,,set16,
S-set16-F,set16-F,S,set16,S-set16,,,set16,
F-set16-N,set16-N,F,No,F-no,,,set16,
S-set16-N,set16-N,S,set16,S-set16,,,set16,
F-set17-F,set17-F,F,Yes,F-yes,,,set17,
S-set17-F,set17-F,S,set17,S-set17,,,set17,
F-set17-N,set17-N,F,No,F-no,,,set17,
S-set17-N,set17-N,S,set17,S-set17,,,set17,
F-set18-F,set18-F,F,Yes,F-yes,,,set18,
S-set18-F,set18-F,S,set18,S-set18,,,set18,
F-set18-N,set18-N,F,No,F-no,,,set18,
S-set18-N,set18-N,S,set18,S-set18,,,set18,
F-set19-F,set19-F,F,Yes,F-yes,,,set19,
S-set19-F,set19-F,S,set19,S-set19,,,set19,
F-set19-N,set19-N,F,No,F-no,,,set19,
S-set19-N,set19-N,S,set19,S-set19,,,set19,
F-set20-F,set20-F,F,Yes,F-yes,,,set20,
S-set20-F,set20-F,S,set20,S-set20,,,set20,
F-set20-N,set20-N,F,No,F-no,,,set20,
S-set20-N,set20-N,S,set20,S-set20,,,set20,
F-set21-F,set21-F,F,Yes,F-yes,,,set21,
S-set21-F,set21-F,S,set21,S-set21,,,set21,
F-set21-N,set21-N,F,No,F-no,,,set21,
S-set21-N,set21-N,S,set21,S-set21,,,set21,
F-set22-F,set22-F,F,Yes,F-yes,,,set22,
S-set22-F,set22-F,S,set22,S-set22,,,set22,
F-set22-N,set22-N,F,No,F-no,,,set22,
S-set22-N,set22-N,S,set22,S-set22,,,set22,
F-set23-F,set23-F,F,Yes,F-yes,,,set23,
S-set23-F,set23-F,S,set23,S-set23,,,set23,
F-set23-N,set23-N,F,No,F-no,,,set23,
S-set23-N,set23-N,S,set23,S-set23,,,set23,
F-set24-F,set24-F,F,Yes,F-yes,,,set24,
S-set24-F,set24-F,S,set24,S-set24,,,set24,
F-set24-N,set24-N,F,No,F-no,,,set24,
S-set24-N,set24-N,S,set24,S-set24,,,set24,
F-set25-F,set25-F,F,Yes,F-yes,,,set25,
S-set25-F,set25-F,S,set25,S-set25,,,set25,
F-set25-N,set25-N,F,No,F-no,,,set25,
S-set25-N,set25-N,S,set25,S-set25,,,set25,
F-set26-F,set26-F,F,Yes,F-yes,,,set26,
S-set26-F,set26-F,S,set26,S-set26,,,set26,
F-set26-N,set26-N,F,No,F-no,,,set26,
S-set26-N,set26-N,S,set26,S-set26,,,set26,
F-set27-F,set27-F,F,Yes,F-yes,,,set27,
S-set27-F,set27-F,S,set27,S-set27,,,set27,
F-set27-N,set27-N,F,No,F-no,,,set27,
S-set27-N,set27-N,S,set27,S-set27,,,set27,
F-set28-F,set28-F,F,Yes,F-yes,,,set28,
S-set28-F,set28-F,S,set28,S-set28,,,set28,
F-set28-N,set28-N,F,No,F-no,,,set28,
S-set28-N,set28-N,S,set28,S-set28,,,set28,
