Version,Set,Old_Set_ID,CID,QID,Sub-ID,Wording,Response,Comment,Respondent,Dom,DomOrder,DataType,Answer1,Answer2,Answer3,Answer4,Answer5,Answer6,Answer7,Answer8,Surname,[q2o1answer],FLang,F_ISO,F_Glottocode,[q2o2answer],NLang,N_ISO,N_Glottocode,ContactPair,ContactPair_ISO,ContactPair_Glottocode,AArea,Reviewer
1.0.1,set06b,set14,OT1,OT1,,1. How long have [q2o1answer] and [q2o2answer] people been in contact overall?,Since 1200 and still ongoing today. ,Possibly starting even earlier. ,Oona Raatikainen,OV,6,Comment,NA,NA,NA,NA,NA,NA,NA,NA,Brincat,Maltese,Maltese,mlt,malt1254,Sicilian,Sicilian,scn,sici1248,Maltese - Scicilian,mlt-scn,malt1254-sici1248,Europe,"OR, EK"
1.0.1,set06b,set14,OT1N,OT1N,,"Coarse time range, numerical",1200-2020,NA,Oona Raatikainen,OV,6,Value,NA,NA,NA,NA,NA,NA,NA,NA,Brincat,Maltese,Maltese,mlt,malt1254,Sicilian,Sicilian,scn,sici1248,Maltese - Scicilian,mlt-scn,malt1254-sici1248,Europe,"OR, EK"
1.0.1,set06b,set14,OT2,OT2,,2. What is the overall time frame when the largest number of people had the most opportunities for interaction?,1300–1800.,From approx. 1800 onwards contact has been in Italian.,Oona Raatikainen,OV,6,Comment,NA,NA,NA,NA,NA,NA,NA,NA,Brincat,Maltese,Maltese,mlt,malt1254,Sicilian,Sicilian,scn,sici1248,Maltese - Scicilian,mlt-scn,malt1254-sici1248,Europe,"OR, EK"
1.0.1,set06b,set14,OT2N,OT2N,,"Coarse time range, numerical",1300-1800,NA,Oona Raatikainen,OV,6,Value,NA,NA,NA,NA,NA,NA,NA,NA,Brincat,Maltese,Maltese,mlt,malt1254,Sicilian,Sicilian,scn,sici1248,Maltese - Scicilian,mlt-scn,malt1254-sici1248,Europe,"OR, EK"
1.0.1,set06b,set14,OD1,OD1,,1. What is the total number of native-like speakers of [q2o1answer]?,"10,000-99,999 speakers
","We have no historical figures of speaker numbers, but Brincat (2021: xxxix, 147–178, 215) mentions some population numbers: Maltese population was approx. 17,000 in 1530, increasing to 93,500 in 1797 (these numbers exclude foreigners in Malta). ",Oona Raatikainen,OV,6,Types,10-99 speakers,100-999 speakers,"1,000-9,999 speakers","10,000-99,999 speakers","100,000-999,999 speakers","1,000,000-9,999,999 speakers","10,000,000-99,999,999 speakers","100,000,000-999,999,999 speakers",Brincat,Maltese,Maltese,mlt,malt1254,Sicilian,Sicilian,scn,sici1248,Maltese - Scicilian,mlt-scn,malt1254-sici1248,Europe,"OR, EK"
1.0.1,set06b,set14,OD3,OD3,,2. What is the total number of native-like speakers of [q2o2answer]?,"100,000-999,999 speakers ","We have no historical figures of speaker numbers, but Mack Smith (1968: 190) mentions that the population was probably less than a million in 1500. Brincat (2021: 216) mentions that the Sicilian population remained around one million during the period 1570–1713. It seems that the Sicilian population never exceeded the one million mark by much, and may have dipped under it, which is why I chose the response ‘100,000-999,999 speakers’ and not ‘1,000,000-9,999,999 speakers’.",Oona Raatikainen,OV,6,Types,10-99 speakers,100-999 speakers,"1,000-9,999 speakers","10,000-99,999 speakers","100,000-999,999 speakers","1,000,000-9,999,999 speakers","10,000,000-99,999,999 speakers","100,000,000-999,999,999 speakers",Brincat,Maltese,Maltese,mlt,malt1254,Sicilian,Sicilian,scn,sici1248,Maltese - Scicilian,mlt-scn,malt1254-sici1248,Europe,"OR, EK"
1.0.1,set06b,set14,OD4,OD4,,3. What is the approximate proportion of native-like speakers in the total population of all speakers of [q2o1answer]?,High proportion,"I have no demographics on this topic, so I'm basing my response on inference. In our time frame, there were multiple linguistic, cultural, and ethnic groups living in Malta (see my responses to P4 in domains for details). I have the impression that foreigners in Malta did not generally learn Maltese (maybe some individuals did, but at least Maltese was not taught to foreigners in any systematic way), so there would have been only a small number of non-native-like speakers. Instead, the Maltese mostly used the foreigners' languages in communication.",Oona Raatikainen,OV,6,Scalar,High proportion,Fairly high proportion,Intermediate proportion,Fairly low proportion,Low proportion,NA,NA,NA,Brincat,Maltese,Maltese,mlt,malt1254,Sicilian,Sicilian,scn,sici1248,Maltese - Scicilian,mlt-scn,malt1254-sici1248,Europe,"OR, EK"
1.0.1,set06b,set14,OD5,OD5,,4. What is the approximate proportion of native-like speakers in the total population of all speakers of [q2o2answer]?,Fairly high proportion ,"As above, I have no demographics on this topic, so I'm basing my response on inference. In our time frame, there were multiple linguistic, cultural, and ethnic groups living in Sicily, including Normans, Lombards, Frenchmen, Catalans, Genoese, Castilian-speaking Spaniards (Mack Smith 1968: 58, 62–63, 103, 120; Trovato & Valenti 2013). Additionally, the island had a significant Greek and (Siculo-)Arabic speaking populations, including a Jewish population (Mack Smith 1968; Trovato & Valenti 2013: 11, 35–47), and an Albanian speaking diaspora arrived at the turn of the 15th century (Trovato 2013). Greeks established colonies in Sicily in 8th c., and Greek remained a significant language even during the time when Sicily was a Roman province and after that (Mack Smith 1968: 3; Trovato & Valenti 2013: 11–21). Additionally, a minority of Maltese also used Sicilian, especially educated individuals (Brincat 2021: passim, but cf. especially pages 77–86 and 109–115) Thus, I've chosen the response 'Fairly high proportion’.",Oona Raatikainen,OV,6,Scalar,High proportion,Fairly high proportion,Intermediate proportion,Fairly low proportion,Low proportion,NA,NA,NA,Brincat,Maltese,Maltese,mlt,malt1254,Sicilian,Sicilian,scn,sici1248,Maltese - Scicilian,mlt-scn,malt1254-sici1248,Europe,"OR, EK"
1.0.1,set06b,set14,OG1,OG1,,5. What is the population density within the area where [q2o1answer] is spoken?,100–399 persons per 10 sq. km,"Area of Malta is 316 sq km.; population was 20,000 in 1530, increasing to 100,000 in 1797 (figures including both Maltese and foreigners, Brincat 2021: 215).",Oona Raatikainen,OV,6,Types,Less than 2 persons per 10 sq. km,2–4 persons per 10 sq. km,5–19 persons per 10 sq. km,20–99 persons per 10 sq. km,100–399 persons per 10 sq. km,NA,NA,NA,Brincat,Maltese,Maltese,mlt,malt1254,Sicilian,Sicilian,scn,sici1248,Maltese - Scicilian,mlt-scn,malt1254-sici1248,Europe,"OR, EK"
1.0.1,set06b,set14,OS7,OS7,,6. What is the mean size of the [q2o1answer] speaking communities at the local level?,"One or more indigenous towns of more than 5,000 inhabitants but none of more than 50,000","I've found no specific figures. In our time frame, the Maltese in general moved to larger settlements: larger rural centers or the urban harbour towns. The population growth was rapid in cities: according to Brincat (2021: 219), in 1530 only 0,5% of the population lived in cities, while by 1797 some 40% did. For example, Valletta had a population of 3400 in 1590, and 20,100 in 1797. Outside the harbor, villages grew too. Blouet (1967: 95) mentions some village populations between ca. 4000–6000 in 1766. Moreover, ""In general terms any village with less than 200 inhabitants, at the beginning of the seventeenth century, was subsequently abandoned."" (ibid.: 96). Towards the start of our time frame, the mean size must have been smaller, and my response reflects the later part of the time frame, but I only have figures of that time period.",Oona Raatikainen,OV,6,Types,Fewer than 50 persons,From 50 to 99 persons,From 100 to 199 persons,From 200 to 399 persons,"From 400 to 1,000 persons","More than 1,000 persons in the absence of indigenous urban aggregations","One or more indigenous towns of more than 5,000 inhabitants but none of more than 50,000",NA,Brincat,Maltese,Maltese,mlt,malt1254,Sicilian,Sicilian,scn,sici1248,Maltese - Scicilian,mlt-scn,malt1254-sici1248,Europe,"OR, EK"
