Table 1,,,,,,,,,,,,,
Dom,QID,CID,Wording,DataType,Answer1,Answer2,Answer3,Answer4,Answer5,Answer6,Answer7,Answer8,Answer_Default
DEM,DEM0aE,P2End,[Not asked in original],Value,,,,,,,,,
DEM,DEM0bE,P3End,[Not asked in original],Value,,,,,,,,,
DEM,DEM00,P1,1. Has exchange ever been a relevant domain of contact between [q2o1answer] and [q2o2answer]? QID: DEM00,Binary-YesNo,Yes,No,,,,,,,
DEM,DEM45,D12,"10. How often are these speech styles typically used during practices of exchange, in comparison with unmonitored speech? QID: DEM38:",Scalar,Always,Often,As much as unmonitored speech,Rarely,Never,,,,Answer5
DEM,DEM03,D3,"11. Social categories QID: DEM03:Does involvement in Exchange practices differ based on hierarchies associated to profession or wealth, such as a person's class or caste?11. Social categories QID: DEM03:Does involvement in Exchange practices differ based on whether a person belongs to some magico-religiously sanctioned group, such as religious denomination?11. Social categories QID: DEM03:Does involvement in Exchange practices differ based on a person's descent group, such as clan, house, lineage group, kinship group?11. Social categories QID: DEM03:Does involvement in Exchange practices differ based on a person’s group of land ownership, such as tribe, clan, territorial group?11. Social categories QID: DEM03:Does involvement in Exchange practices differ based on a person’s race, ethnicity, or some other similar grouping?11. Social categories QID: DEM03:Does involvement in Exchange practices differ based on a person’s age or life stage?11. Social categories QID: DEM03:Does involvement in Exchange practices differ based on a person’s place identity and affiliation?11. Social categories QID: DEM03:Does involvement in Exchange practices differ based on a person’s sex or gender?11. Social categories QID: DEM03:Does involvement in Exchange practices differ based on any other communities of practice?",Variable-Binaryx9,Yes,No,,,,,,,NoNoNoNoNoNoNoNoNoNo
DEM,DEM41,D10,12. Do [q2o1answer] people experience exchange differently depending on social group? QID: DEM41,Binary-YesNo,Yes,No,,,,,,,No
DEM,DEM08,S1,13. How often do [q2o1answer] people exchange with [q2o2answer] people? QID: DEM08:,Scalar,Very often,Often,Sometimes,Rarely,Very rarely,,,,Answer_9
DEM,DEM11,S3,14. How many people are typically involved in interactions between [q2o1answer] and [q2o2answer] in the context of exchange? QID: DEM11:,Scalar,Interactions are practically always under 5 people.,Interactions are often under 5 people,Interactions are sometimes under 5 people,Interactions are rarely under 5 people,Interactions are practically never under 5 people,,,,Answer1
DEM,DEM10,S5,15. How would you rate the overall relationship between [q2o1answer] and [q2o2answer] people in the domain of exchange? QID: DEM10:,Scalar,Friendly,Somewhat friendly,Neutral,Somewhat hostile,Hostile,,,,Answer3
DEM,DEM40,S6,16. What is the proportion of total [q2o1answer] people who have opportunities for contact with [q2o2answer] people in the context of exchange? QID: DEM40:,Scalar,Almost everyone,Many people,Some people,Few people,Almost no one,,,,Answer5
DEM,DEM44,S7,17. What is the proportion of total [q2o2answer] people who have opportunities for contact with [q2o1answer] people in the context of exchange? QID: DEM44:,Scalar,Almost everyone,Many people,Some people,Few people,Almost no one,,,,Answer5
DEM,DEM17,BA,18. What is the overall attitude that [q2o1answer] people have towards [q2o2answer] people in the context of exchange? QID: DEM17:,Scalar,Very positive,Positive,Neutral,Negative,Very negative,,,,Answer3
DEM,DEM18,BH,19. How do [q2o1answer] people view themselves overall in relation to [q2o2answer] people in the context of exchange? QID: DEM18:,Scalar,[q2o1answer] see themselves as very superior to [q2o2answer].,[q2o1answer] see themselves as superior to [q2o2answer].,[q2o1answer] see themselves as neither superior nor inferior to [q2o2answer].,[q2o1answer] see themselves as inferior to [q2o2answer].,[q2o1answer] see themselves as very inferior to [q2o2answer].,,,,Answer3
DEM,DEM05,BI,20. What language do [q2o1answer] people expect to be used when interacting with [q2o2answer] people through practices of exchange? QID:DEM05:,Types,The [q2o1answer] language,The [q2o2answer] language,Some other language,This is highly contextual,,,,,Answer_0
DEM,DEM14,O1,21. What language do [q2o1answer] people typically speak during practices of exchange with [q2o2answer] people? QID: DEM14:,Types,The [q2o1answer] language,The [q2o2answer] language,Some other language,This is highly contextual,,,,,Answer_0
DEM,DEM15,O2,22. Do [q2o1answer] people typically simplify their [q2o1answer] language when speaking with [q2o2answer] people during practices of Exchange? QID: DEM15:,Types,Yes,No,This is highly contextual,,,,,,Answer_0
DEM,DEM16,O3,"23. Typically in the context of exchange practices, how fluently to [q2o1answer] people speak the [q2o2answer] language? QID: DEM16",Scalar,Very fluently,Fluently,Somewhat fluently,A little fluently,Not fluently at all,,,,Answer_9
DEM,DEM12,I1,24. What language do [q2o2answer] people typically speak to [q2o1answer] people during practices of exchange? QID: DEM12:,Types,The [q2o1answer] language,The [q2o2answer] language,Some other language,This is highly contextual,,,,,Answer_0
DEM,DEM13,I2,"25. Typically in contexts of exchange practices, how well do [q2o1answer] people understand the [q2o2answer] language? QID: DEM13:",Scalar,Very well,Well,Somewhat,Poorly,Very poorly,,,,Answer_0
DEM,DEM06,T1,26. How much do [q2o1answer] children participate in practices of exchange? QID: DEM06:,Scalar,They practically always participate,They participate a lot,They participate somewhat,They participate a little,They practically never participate,,,,Answer5
DEM,DEM39,T6,"27. Child socialisation. QID: DEM39:1. Typically during practices of exchange, do adults other than the parents look after children up to five year of age?27. Child socialisation. QID: DEM39:2. Typically during practices of exchange, do parents look after children up to five year of age?27. Child socialisation. QID: DEM39:3. Typically during practices of exchange, do children from sibling-kin groups look after children up to five year of age?27. Child socialisation. QID: DEM39:4. Typically during practices of exchange, do children up to five year of age look after each other as part of the same peer group?",Variable-Binaryx4,Yes,No,,,,,,,NoNoNoNo
DEM,DEM20,T11,"28. Typically, how much supervision do adults provide to children during practices of exchange? QID: DEM20:",Scalar,Constant supervision,A lot of supervision,Some supervision,Little supervision,No supervision at all,,,,Answer5
DEM,DEM21,T2,29. What language do [q2o2answer] adults typically speak to [q2o1answer] children during practices of exchange? QID: DEM21:,Types,The [q2o1answer] language,The [q2o2answer] language,Some other language,This is highly contextual,,,,,Answer_0
DEM,DEM0aB,P2Begin,3. How long have [q2o1answer] and [q2o2answer] people practised exchange for?,Value,,,,,,,,,
DEM,DEM22,T4,"30. Typically, what language do [q2o1answer] children prefer to speak with [q2o2answer] adults in the context of exchange? QID: DEM22:",Types,The [q2o1answer] language,The [q2o2answer] language,Some other language,This is highly contextual,,,,,Answer_0
DEM,DEM25,T5,"31. Typically, what language do [q2o1answer] children speak to [q2o2answer] children during practices of exchange? QID: DEM25:",Types,The [q2o1answer] language,The [q2o2answer] language,Some other language,This is highly contextual,,,,,Answer_0
