Dom,CID,QID,Wording,Socio-Political Power,Use Equivalence,Language Loyalty,Attitudes and Ideologies
DKN,S5,DKN12,16. How would you rate the overall relationship between [q2o1answer] and [q2o2answer] people in the knowledge domain? QID: DKN12,,,, yes
DEM,S5,DEM10,15. How would you rate the overall relationship between [q2o1answer] and [q2o2answer] people in the domain of exchange? QID: DEM10:,,,,yes
DEM,S5,DEM34,39. How would you rate the overall relationship between [q2o1answer] and [q2o2answer] people in practices of marriage exchanges? QID: DEM34:,,,,yes
DFK,S5,DFK14,30. How would you rate the overall relationship between a [q2o1answer] person and their [q2o2answer] in-laws? QID: DFK14:,,,,yes
DLB,S5,DLB11,16. How would you rate the overall relationship between [q2o1answer] and [q2o2answer] people involved in work? QID: DLB11,,,,yes
DLC,S5,DLC14,13. How would you rate the overall relationship between [q2o1answer] and [q2o2answer] people in the local community? QID: DLC14,,,,yes
DTR,S5,DTR23,16. How would you rate the overall relationship between [q2o1answer] and [q2o2answer] people in trade? QID: DTR23,,,,yes
DEM,BA,DEM17,18. What is the overall attitude that [q2o1answer] people have towards [q2o2answer] people in the context of exchange? QID: DEM17:,,,,yes
DEM,BA,DEM35,42. What is the overall attitude that [q2o1answer] people have towards [q2o2answer] people in practices of marriage exchanges? QID: DEM35:,,,,yes
DFK,BA,DFK33,31. What is the overall attitude that a [q2o1answer] person has towards their [q2o2answer] in-laws? QID: DFK33:,,,,yes
DLB,BA,DLB22,19. What is the overall attitude that [q2o1answer] people have towards [q2o2answer] people in work? QID: DLB22,,,,yes
DLC,BA,DLC18,16. What is the overall attitude that [q2o1answer] people have towards [q2o2answer] people in the local community? QID: DLC18,,,,yes
DKN,BA,DKN13,19. What is the overall attitude that [q2o1answer] people have towards [q2o2answer] people in the knowledge domain? QID: DKN13,,,,yes
DTR,BA,DTR16,19. What is the overall attitude that [q2o1answer] people have towards [q2o2answer] people in trade? QID: DTR16,,,,yes
DFK,BA,DFK16,11. What is the overall level of affection that the [q2o1answer] person has towards their [q2o2answer] spouse? QID: DFK16:,,,,yes
