Version,Set,Old_Set_ID,CID,QID,Sub-ID,Wording,Response,Comment,Respondent,Dom,DomOrder,DataType,Answer1,Answer2,Answer3,Answer4,Answer5,Answer6,Answer7,Answer8,Surname,[q2o1answer],FLang,F_ISO,F_Glottocode,[q2o2answer],NLang,N_ISO,N_Glottocode,ContactPair,ContactPair_ISO,ContactPair_Glottocode,AArea,Reviewer
1.0.0,set30,set13b,OT1,OT1,,1. How long have [q2o1answer] and [q2o2answer] people been in contact overall?,"Presumably since the year 200 CE. Many sources (archaelogical, cultural, linguistic) point towards a period of intense contact during the Middle ages (see e.g. Kusmenko 2010; Zachrisson 2012).",,Richard Kowalik,OV,6,Comment,NA,NA,NA,NA,NA,NA,NA,NA,Kowalik,South Saami,South Saami,sma,sout2674,NorwegianSwedish,NorwegianSwedish,nor,norw1258,South Saami - NorwegianSwedish,sma-nor,sout2674-norw1258,Eurasia,"OR, EK"
1.0.0,set30,set13b,OT1N,OT1N,,"Coarse time range, numerical",1000-2020,NA,Richard Kowalik,OV,6,Value,NA,NA,NA,NA,NA,NA,NA,NA,Kowalik,South Saami,South Saami,sma,sout2674,NorwegianSwedish,NorwegianSwedish,nor,norw1258,South Saami - NorwegianSwedish,sma-nor,sout2674-norw1258,Eurasia,"OR, EK"
1.0.0,set30,set13b,OT2,OT2,,2. What is the overall time frame when the largest number of people had the most opportunities for interaction?,"That is difficult to assess, since (exact) total numbers of Saami are not known, neither historically nor for today. Possibly, the Middle Ages can be identified as an important time frame. Today, there is a lot of contact as well, but the notion of a ""Saami"" group as opposed to a ""Norwegian/Swedish"" seems less meaningful in many of the contact domains investigated in the questionnaire.",,Richard Kowalik,OV,6,Comment,NA,NA,NA,NA,NA,NA,NA,NA,Kowalik,South Saami,South Saami,sma,sout2674,NorwegianSwedish,NorwegianSwedish,nor,norw1258,South Saami - NorwegianSwedish,sma-nor,sout2674-norw1258,Eurasia,"OR, EK"
1.0.0,set30,set13b,OT2N,OT2N,,"Coarse time range, numerical",1000-2020,NA,Richard Kowalik,OV,6,Value,NA,NA,NA,NA,NA,NA,NA,NA,Kowalik,South Saami,South Saami,sma,sout2674,NorwegianSwedish,NorwegianSwedish,nor,norw1258,South Saami - NorwegianSwedish,sma-nor,sout2674-norw1258,Eurasia,"OR, EK"
1.0.0,set30,set13b,OD1,OD1,,1. What is the total number of native-like speakers of [q2o1answer]?,100-999 speakers,There are probably around 400-600 speakers who fit the definition.,Richard Kowalik,OV,6,Types,10-99 speakers,100-999 speakers,"1,000-9,999 speakers","10,000-99,999 speakers","100,000-999,999 speakers","1,000,000-9,999,999 speakers","10,000,000-99,999,999 speakers","100,000,000-999,999,999 speakers",Kowalik,South Saami,South Saami,sma,sout2674,NorwegianSwedish,NorwegianSwedish,nor,norw1258,South Saami - NorwegianSwedish,sma-nor,sout2674-norw1258,Eurasia,"OR, EK"
1.0.0,set30,set13b,OD3,OD3,,2. What is the total number of native-like speakers of [q2o2answer]?,"10,000,000-99,999,999 speakers","Norwegian: ca. 5.3 mil.
Swedish: ca. 10.4 mil.",Richard Kowalik,OV,6,Types,10-99 speakers,100-999 speakers,"1,000-9,999 speakers","10,000-99,999 speakers","100,000-999,999 speakers","1,000,000-9,999,999 speakers","10,000,000-99,999,999 speakers","100,000,000-999,999,999 speakers",Kowalik,South Saami,South Saami,sma,sout2674,NorwegianSwedish,NorwegianSwedish,nor,norw1258,South Saami - NorwegianSwedish,sma-nor,sout2674-norw1258,Eurasia,"OR, EK"
1.0.0,set30,set13b,OD4,OD4,,3. What is the approximate proportion of native-like speakers in the total population of all speakers of [q2o1answer]?,Low proportion,"There are no official numbers available for either, but the percentage of speakers is low.",Richard Kowalik,OV,6,Scalar,High proportion,Fairly high proportion,Intermediate proportion,Fairly low proportion,Low proportion,NA,NA,NA,Kowalik,South Saami,South Saami,sma,sout2674,NorwegianSwedish,NorwegianSwedish,nor,norw1258,South Saami - NorwegianSwedish,sma-nor,sout2674-norw1258,Eurasia,"OR, EK"
1.0.0,set30,set13b,OD5,OD5,,4. What is the approximate proportion of native-like speakers in the total population of all speakers of [q2o2answer]?,High proportion,,Richard Kowalik,OV,6,Scalar,High proportion,Fairly high proportion,Intermediate proportion,Fairly low proportion,Low proportion,NA,NA,NA,Kowalik,South Saami,South Saami,sma,sout2674,NorwegianSwedish,NorwegianSwedish,nor,norw1258,South Saami - NorwegianSwedish,sma-nor,sout2674-norw1258,Eurasia,"OR, EK"
1.0.0,set30,set13b,OG1,OG1,,5. What is the population density within the area where [q2o1answer] is spoken?,5–19 persons per 10 sq. km,"Generally low in the are where South Saami mainly live. For instance, the municipality Härjedalen has 1 inhabitant per km2 (= 10 per 10 sq. km); the county Trøndelag (including the city of Trondheim) has 11 inhabitants per km2.",Richard Kowalik,OV,6,Types,Less than 2 persons per 10 sq. km,2–4 persons per 10 sq. km,5–19 persons per 10 sq. km,20–99 persons per 10 sq. km,100–399 persons per 10 sq. km,NA,NA,NA,Kowalik,South Saami,South Saami,sma,sout2674,NorwegianSwedish,NorwegianSwedish,nor,norw1258,South Saami - NorwegianSwedish,sma-nor,sout2674-norw1258,Eurasia,"OR, EK"
1.0.0,set30,set13b,OS7,OS7,,6. What is the mean size of the [q2o1answer] speaking communities at the local level?,Fewer than 50 persons,,Richard Kowalik,OV,6,Types,Fewer than 50 persons,From 50 to 99 persons,From 100 to 199 persons,From 200 to 399 persons,"From 400 to 1,000 persons","More than 1,000 persons in the absence of indigenous urban aggregations","One or more indigenous towns of more than 5,000 inhabitants but none of more than 50,000",NA,Kowalik,South Saami,South Saami,sma,sout2674,NorwegianSwedish,NorwegianSwedish,nor,norw1258,South Saami - NorwegianSwedish,sma-nor,sout2674-norw1258,Eurasia,"OR, EK"
