Version,Set,Old_Set_ID,CID,QID,Sub-ID,Wording,Response,Comment,Respondent,Dom,DomOrder,DataType,Answer1,Answer2,Answer3,Answer4,Answer5,Answer6,Answer7,Answer8,Surname,[q2o1answer],FLang,F_ISO,F_Glottocode,[q2o2answer],NLang,N_ISO,N_Glottocode,ContactPair,ContactPair_ISO,ContactPair_Glottocode,AArea,Reviewer
1.0.0,set23,set30d,OT1,OT1,,1. How long have [q2o1answer] and [q2o2answer] people been in contact overall?,"1764 - present
ca. 250 years","THe contact started with the relocation of both groups - Sibe and the Taranchi Uighurs - to the Ili valley of XInjiang. 
The Uighurs, the Sibe, and their contact,as well as the general situation in Northern XInjiang, is sensitive in itself. Given the political situation in current Xinjiang which puts in danger anyone just on the grounds of belonging to a minority group, as well as its unpredictability for future, all data concerning ethnic groups and their relationships should be treated as sensitive.",Veronika Zikmundová & Kicengge (Chengzhi),OV,6,Comment,NA,NA,NA,NA,NA,NA,NA,NA,Zikumundova1Kicengge2,Sibe,Sibe,sjo,sibe1252,Uighur,Uighur,uig,uigh1240,Sibe-Uighur,sjo-uig,sibe1252-uigh1240,Inner Asia,"FDG, OR"
1.0.0,set23,set30d,OT1N,OT1N,,"Coarse time range, numerical",1764-2020,NA,Veronika Zikmundová & Kicengge (Chengzhi),OV,6,Value,NA,NA,NA,NA,NA,NA,NA,NA,Zikumundova1Kicengge2,Sibe,Sibe,sjo,sibe1252,Uighur,Uighur,uig,uigh1240,Sibe-Uighur,sjo-uig,sibe1252-uigh1240,Inner Asia,"FDG, OR"
1.0.0,set23,set30d,OT2,OT2,,2. What is the overall time frame when the largest number of people had the most opportunities for interaction?,1800s - present,"THe density of interatcions was different in different domains: While trade has been going on practically since the arrival of the groups to the area, for the domains of Labour and Knowledge the densiest contacts started after 1950s.",Veronika Zikmundová & Kicengge (Chengzhi),OV,6,Comment,NA,NA,NA,NA,NA,NA,NA,NA,Zikumundova1Kicengge2,Sibe,Sibe,sjo,sibe1252,Uighur,Uighur,uig,uigh1240,Sibe-Uighur,sjo-uig,sibe1252-uigh1240,Inner Asia,"FDG, OR"
1.0.0,set23,set30d,OT2N,OT2N,,"Coarse time range, numerical",1800-2020,NA,Veronika Zikmundová & Kicengge (Chengzhi),OV,6,Value,NA,NA,NA,NA,NA,NA,NA,NA,Zikumundova1Kicengge2,Sibe,Sibe,sjo,sibe1252,Uighur,Uighur,uig,uigh1240,Sibe-Uighur,sjo-uig,sibe1252-uigh1240,Inner Asia,"FDG, OR"
1.0.0,set23,set30d,OD1,OD1,,1. What is the total number of native-like speakers of [q2o1answer]?,"10,000-99,999 speakers",ca. 15 000 speakers,Veronika Zikmundová & Kicengge (Chengzhi),OV,6,Types,10-99 speakers,100-999 speakers,"1,000-9,999 speakers","10,000-99,999 speakers","100,000-999,999 speakers","1,000,000-9,999,999 speakers","10,000,000-99,999,999 speakers","100,000,000-999,999,999 speakers",Zikumundova1Kicengge2,Sibe,Sibe,sjo,sibe1252,Uighur,Uighur,uig,uigh1240,Sibe-Uighur,sjo-uig,sibe1252-uigh1240,Inner Asia,"FDG, OR"
1.0.0,set23,set30d,OD3,OD3,,2. What is the total number of native-like speakers of [q2o2answer]?,"1,000,000-9,999,999 speakers",,Veronika Zikmundová & Kicengge (Chengzhi),OV,6,Types,10-99 speakers,100-999 speakers,"1,000-9,999 speakers","10,000-99,999 speakers","100,000-999,999 speakers","1,000,000-9,999,999 speakers","10,000,000-99,999,999 speakers","100,000,000-999,999,999 speakers",Zikumundova1Kicengge2,Sibe,Sibe,sjo,sibe1252,Uighur,Uighur,uig,uigh1240,Sibe-Uighur,sjo-uig,sibe1252-uigh1240,Inner Asia,"FDG, OR"
1.0.0,set23,set30d,OD4,OD4,,3. What is the approximate proportion of native-like speakers in the total population of all speakers of [q2o1answer]?,Intermediate proportion,,Veronika Zikmundová & Kicengge (Chengzhi),OV,6,Scalar,High proportion,Fairly high proportion,Intermediate proportion,Fairly low proportion,Low proportion,NA,NA,NA,Zikumundova1Kicengge2,Sibe,Sibe,sjo,sibe1252,Uighur,Uighur,uig,uigh1240,Sibe-Uighur,sjo-uig,sibe1252-uigh1240,Inner Asia,"FDG, OR"
1.0.0,set23,set30d,OD5,OD5,,4. What is the approximate proportion of native-like speakers in the total population of all speakers of [q2o2answer]?,Fairly high proportion,,Veronika Zikmundová & Kicengge (Chengzhi),OV,6,Scalar,High proportion,Fairly high proportion,Intermediate proportion,Fairly low proportion,Low proportion,NA,NA,NA,Zikumundova1Kicengge2,Sibe,Sibe,sjo,sibe1252,Uighur,Uighur,uig,uigh1240,Sibe-Uighur,sjo-uig,sibe1252-uigh1240,Inner Asia,"FDG, OR"
1.0.0,set23,set30d,OG1,OG1,,5. What is the population density within the area where [q2o1answer] is spoken?,20–99 persons per 10 sq. km,,Veronika Zikmundová & Kicengge (Chengzhi),OV,6,Types,Less than 2 persons per 10 sq. km,2–4 persons per 10 sq. km,5–19 persons per 10 sq. km,20–99 persons per 10 sq. km,100–399 persons per 10 sq. km,NA,NA,NA,Zikumundova1Kicengge2,Sibe,Sibe,sjo,sibe1252,Uighur,Uighur,uig,uigh1240,Sibe-Uighur,sjo-uig,sibe1252-uigh1240,Inner Asia,"FDG, OR"
1.0.0,set23,set30d,OS7,OS7,,6. What is the mean size of the [q2o1answer] speaking communities at the local level?,"More than 1,000 persons in the absence of indigenous urban aggregations","Most of  the Sibe speakers live in eight villages with Sibe population  around or over 1000,. The population of these vilages has been steadily growing. Currently the village which has been the administrative seat has turned into a town with several tens of thousands inhabitants, roughly 30 percent of which ar Sibe.",Veronika Zikmundová & Kicengge (Chengzhi),OV,6,Types,Fewer than 50 persons,From 50 to 99 persons,From 100 to 199 persons,From 200 to 399 persons,"From 400 to 1,000 persons","More than 1,000 persons in the absence of indigenous urban aggregations","One or more indigenous towns of more than 5,000 inhabitants but none of more than 50,000",NA,Zikumundova1Kicengge2,Sibe,Sibe,sjo,sibe1252,Uighur,Uighur,uig,uigh1240,Sibe-Uighur,sjo-uig,sibe1252-uigh1240,Inner Asia,"FDG, OR"
