Version,Set,Old_Set_ID,CID,QID,Sub-ID,Wording,Response,Comment,Respondent,Dom,DomOrder,DataType,Answer1,Answer2,Answer3,Answer4,Answer5,Answer6,Answer7,Answer8,Surname,[q2o1answer],FLang,F_ISO,F_Glottocode,[q2o2answer],NLang,N_ISO,N_Glottocode,ContactPair,ContactPair_ISO,ContactPair_Glottocode,AArea,Reviewer
1.0.0,set26,set_19a,OT1,OT1,,1. How long have [q2o1answer] and [q2o2answer] people been in contact overall?,,,Michelle A. Ocasio,OV,6,Comment,NA,NA,NA,NA,NA,NA,NA,NA,Ocasio,Garifuna,Garifuna,cab,gari1256,Galibi,Galibi,car,gali1262,Garifuna - Galibi,cab-car,gari1256-gali1262,Mesoamerica,EK
1.0.0,set26,set_19a,OT1N,OT1N,,"Coarse time range, numerical",XXXX-XXXX,NA,Michelle A. Ocasio,OV,6,Value,NA,NA,NA,NA,NA,NA,NA,NA,Ocasio,Garifuna,Garifuna,cab,gari1256,Galibi,Galibi,car,gali1262,Garifuna - Galibi,cab-car,gari1256-gali1262,Mesoamerica,EK
1.0.0,set26,set_19a,OT2,OT2,,2. What is the overall time frame when the largest number of people had the most opportunities for interaction?,,,Michelle A. Ocasio,OV,6,Comment,NA,NA,NA,NA,NA,NA,NA,NA,Ocasio,Garifuna,Garifuna,cab,gari1256,Galibi,Galibi,car,gali1262,Garifuna - Galibi,cab-car,gari1256-gali1262,Mesoamerica,EK
1.0.0,set26,set_19a,OT2N,OT2N,,"Coarse time range, numerical",XXXX-XXXX,NA,Michelle A. Ocasio,OV,6,Value,NA,NA,NA,NA,NA,NA,NA,NA,Ocasio,Garifuna,Garifuna,cab,gari1256,Galibi,Galibi,car,gali1262,Garifuna - Galibi,cab-car,gari1256-gali1262,Mesoamerica,EK
1.0.0,set26,set_19a,OD1,OD1,,1. What is the total number of native-like speakers of [q2o1answer]?,"100,000-999,999 speakers","174,300. This includes monolingual, bilingual and trilingual speakers of Garifuna spanning five areas, United States, Honduras, Guatemala and Belize.  Although Nicaragua reports having Garifuna residents, there are no known speakers of Garifuna. Source: Ethnologue",Michelle A. Ocasio,OV,6,Types,10-99 speakers,100-999 speakers,"1,000-9,999 speakers","10,000-99,999 speakers","100,000-999,999 speakers","1,000,000-9,999,999 speakers","10,000,000-99,999,999 speakers","100,000,000-999,999,999 speakers",Ocasio,Garifuna,Garifuna,cab,gari1256,Galibi,Galibi,car,gali1262,Garifuna - Galibi,cab-car,gari1256-gali1262,Mesoamerica,EK
1.0.0,set26,set_19a,OD3,OD3,,2. What is the total number of native-like speakers of [q2o2answer]?,"1,000-9,999 speakers","8,558. The above number includes Galibi speakers who reside in Venezuela, Brazil, French Guyana, Guyana and Suriname. Source: Ethnologue",Michelle A. Ocasio,OV,6,Types,10-99 speakers,100-999 speakers,"1,000-9,999 speakers","10,000-99,999 speakers","100,000-999,999 speakers","1,000,000-9,999,999 speakers","10,000,000-99,999,999 speakers","100,000,000-999,999,999 speakers",Ocasio,Garifuna,Garifuna,cab,gari1256,Galibi,Galibi,car,gali1262,Garifuna - Galibi,cab-car,gari1256-gali1262,Mesoamerica,EK
1.0.0,set26,set_19a,OD4,OD4,,3. What is the approximate proportion of native-like speakers in the total population of all speakers of [q2o1answer]?,Intermediate proportion,"
The approximate proportion of native-like speakers in the total population of Garifuna speakers would rate in the intermediate range.  There is a segment of Garifunas who did not learn to speak it well, due to the push in schools (and in some homes) to favor Spanish or English (the dominant language, depending on the country) over Garifuna.  However, in recent years there has been a revival, and young people are genuinely interested in acquiring their ancestral language.   Nevertheless, it is difficult to estimate very accurately, since the United States Census does not share the exact numbers of Garifuna and Garifuna speakers with the general public.  This is important since many scholars estimate that there are now more Garifuna in the United States than there are in all of Central America.",Michelle A. Ocasio,OV,6,Scalar,High proportion,Fairly high proportion,Intermediate proportion,Fairly low proportion,Low proportion,NA,NA,NA,Ocasio,Garifuna,Garifuna,cab,gari1256,Galibi,Galibi,car,gali1262,Garifuna - Galibi,cab-car,gari1256-gali1262,Mesoamerica,EK
1.0.0,set26,set_19a,OD5,OD5,,4. What is the approximate proportion of native-like speakers in the total population of all speakers of [q2o2answer]?,Fairly low proportion,"Out of an ethnic population of 38,800, the number of speakers of Galibi is 8,558 (around 22.06% of Galibi people).  Source: Ethnologue",Michelle A. Ocasio,OV,6,Scalar,High proportion,Fairly high proportion,Intermediate proportion,Fairly low proportion,Low proportion,NA,NA,NA,Ocasio,Garifuna,Garifuna,cab,gari1256,Galibi,Galibi,car,gali1262,Garifuna - Galibi,cab-car,gari1256-gali1262,Mesoamerica,EK
1.0.0,set26,set_19a,OG1,OG1,,5. What is the population density within the area where [q2o1answer] is spoken?,100–399 persons per 10 sq. km,"The response of 100-399 persons per 10 sq. km is a crude guess, based on the information for the Miskito society (given in Rationale: OG1, for societies listed in D-Place.  The Miskito society in Nicaragua is similar in size to the Honduran Garifuna community; this society is listed as 1-25 persons per sq. mile. The ""Garifuna Nation"" is spread out along the coastlines of Southern Belize, Guatemala and Honduras, with a population in major areas of the United States.  Furthermore, the areas are not homogenous, as other Native American and Ladino populations live in the same area.",Michelle A. Ocasio,OV,6,Types,Less than 2 persons per 10 sq. km,2–4 persons per 10 sq. km,5–19 persons per 10 sq. km,20–99 persons per 10 sq. km,100–399 persons per 10 sq. km,NA,NA,NA,Ocasio,Garifuna,Garifuna,cab,gari1256,Galibi,Galibi,car,gali1262,Garifuna - Galibi,cab-car,gari1256-gali1262,Mesoamerica,EK
1.0.0,set26,set_19a,OS7,OS7,,6. What is the mean size of the [q2o1answer] speaking communities at the local level?,"More than 1,000 persons in the absence of indigenous urban aggregations","From the United States to the smallest Garifuna community in Honduras, the size of the Garifuna speaking community ranges from fewer than 50 persons to more than 50 thousand.  D-Place (https://d-place.org/parameters/EA031#5/16.636/258.289) lists the mean size of Garifuna as ""1000+ no towns.""",Michelle A. Ocasio,OV,6,Types,Fewer than 50 persons,From 50 to 99 persons,From 100 to 199 persons,From 200 to 399 persons,"From 400 to 1,000 persons","More than 1,000 persons in the absence of indigenous urban aggregations","One or more indigenous towns of more than 5,000 inhabitants but none of more than 50,000",NA,Ocasio,Garifuna,Garifuna,cab,gari1256,Galibi,Galibi,car,gali1262,Garifuna - Galibi,cab-car,gari1256-gali1262,Mesoamerica,EK
