Version,Set,Old_Set_ID,CID,QID,Sub-ID,Wording,Response,Comment,Respondent,Dom,DomOrder,DataType,Answer1,Answer2,Answer3,Answer4,Answer5,Answer6,Answer7,Answer8,Surname,[q2o1answer],FLang,F_ISO,F_Glottocode,[q2o2answer],NLang,N_ISO,N_Glottocode,ContactPair,ContactPair_ISO,ContactPair_Glottocode,AArea,Reviewer
1.0.0,set08,set41c,OT1,OT1,,1. How long have [q2o1answer] and [q2o2answer] people been in contact overall?,"Two centuries, since Kwoma migrated into the Washkuk Hills from further to the north in the first half of the 19th century and the Manambu migrated during the same period migrated from further down river from an area occupied today by Iatmul-speaking people.",,Ross Bowden,OV,6,Comment,NA,NA,NA,NA,NA,NA,NA,NA,Bowden,Kwoma,Kwoma,kmo,kwom1262,Manambu,Manambu,mle,mana1298,Kwoma-Manambu,kmo-mle,kwom1262-mana1298,North Coast New Guinea,"EK, OR"
1.0.0,set08,set41c,OT1N,OT1N,,"Coarse time range, numerical",1820-2020,NA,Ross Bowden,OV,6,Value,NA,NA,NA,NA,NA,NA,NA,NA,Bowden,Kwoma,Kwoma,kmo,kwom1262,Manambu,Manambu,mle,mana1298,Kwoma-Manambu,kmo-mle,kwom1262-mana1298,North Coast New Guinea,"EK, OR"
1.0.0,set08,set41c,OT2,OT2,,2. What is the overall time frame when the largest number of people had the most opportunities for interaction?,"Since the 1920s, when a government patrol post was established at Ambunti, midway between the two language groups, and warfare between the two groups came to an end. This gave Kwoma for the first time in their history the ability safely to visit Manambu communities, and vice versa.",,Ross Bowden,OV,6,Comment,NA,NA,NA,NA,NA,NA,NA,NA,Bowden,Kwoma,Kwoma,kmo,kwom1262,Manambu,Manambu,mle,mana1298,Kwoma-Manambu,kmo-mle,kwom1262-mana1298,North Coast New Guinea,"EK, OR"
1.0.0,set08,set41c,OT2N,OT2N,,"Coarse time range, numerical",1920-2020,NA,Ross Bowden,OV,6,Value,NA,NA,NA,NA,NA,NA,NA,NA,Bowden,Kwoma,Kwoma,kmo,kwom1262,Manambu,Manambu,mle,mana1298,Kwoma-Manambu,kmo-mle,kwom1262-mana1298,North Coast New Guinea,"EK, OR"
1.0.0,set08,set41c,OD1,OD1,,1. What is the total number of native-like speakers of [q2o1answer]?,"1,000-9,999 speakers",Around 7000. This figure derives from the data on village populations in the 2011 National Census – the last national census to be undertaken.,Ross Bowden,OV,6,Types,10-99 speakers,100-999 speakers,"1,000-9,999 speakers","10,000-99,999 speakers","100,000-999,999 speakers","1,000,000-9,999,999 speakers","10,000,000-99,999,999 speakers","100,000,000-999,999,999 speakers",Bowden,Kwoma,Kwoma,kmo,kwom1262,Manambu,Manambu,mle,mana1298,Kwoma-Manambu,kmo-mle,kwom1262-mana1298,North Coast New Guinea,"EK, OR"
1.0.0,set08,set41c,OD3,OD3,,2. What is the total number of native-like speakers of [q2o2answer]?,"1,000-9,999 speakers","Possibly 4000 or more. There is no information in the 2011 National Census on the number of Manambu who have left their villages to work outside the Sepik River region in Papua New Guinea or overseas. This might amount to several thousand as Manambu have been leaving their villages to work elsewhere in PNG since the 1920s, and further afield (including in Australia) since the 1950s.",Ross Bowden,OV,6,Types,10-99 speakers,100-999 speakers,"1,000-9,999 speakers","10,000-99,999 speakers","100,000-999,999 speakers","1,000,000-9,999,999 speakers","10,000,000-99,999,999 speakers","100,000,000-999,999,999 speakers",Bowden,Kwoma,Kwoma,kmo,kwom1262,Manambu,Manambu,mle,mana1298,Kwoma-Manambu,kmo-mle,kwom1262-mana1298,North Coast New Guinea,"EK, OR"
1.0.0,set08,set41c,OD4,OD4,,3. What is the approximate proportion of native-like speakers in the total population of all speakers of [q2o1answer]?,High proportion,"95% plus. Children of native Kwoma speakers who have been brought up elsewhere in Papua New Guinea, e.g. the children of school teachers, often haves only a very limited knowledge of the language. This becomes apparent when they return with to their parents’ villages during public holidays.   ",Ross Bowden,OV,6,Scalar,High proportion,Fairly high proportion,Intermediate proportion,Fairly low proportion,Low proportion,NA,NA,NA,Bowden,Kwoma,Kwoma,kmo,kwom1262,Manambu,Manambu,mle,mana1298,Kwoma-Manambu,kmo-mle,kwom1262-mana1298,North Coast New Guinea,"EK, OR"
1.0.0,set08,set41c,OD5,OD5,,4. What is the approximate proportion of native-like speakers in the total population of all speakers of [q2o2answer]?,High proportion,This writer does not have accurate information on this topic. ,Ross Bowden,OV,6,Scalar,High proportion,Fairly high proportion,Intermediate proportion,Fairly low proportion,Low proportion,NA,NA,NA,Bowden,Kwoma,Kwoma,kmo,kwom1262,Manambu,Manambu,mle,mana1298,Kwoma-Manambu,kmo-mle,kwom1262-mana1298,North Coast New Guinea,"EK, OR"
1.0.0,set08,set41c,OG1,OG1,,5. What is the population density within the area where [q2o1answer] is spoken?,100–399 persons per 10 sq. km,,Ross Bowden,OV,6,Types,Less than 2 persons per 10 sq. km,2–4 persons per 10 sq. km,5–19 persons per 10 sq. km,20–99 persons per 10 sq. km,100–399 persons per 10 sq. km,NA,NA,NA,Bowden,Kwoma,Kwoma,kmo,kwom1262,Manambu,Manambu,mle,mana1298,Kwoma-Manambu,kmo-mle,kwom1262-mana1298,North Coast New Guinea,"EK, OR"
1.0.0,set08,set41c,OS7,OS7,,6. What is the mean size of the [q2o1answer] speaking communities at the local level?,"From 400 to 1,000 persons",,Ross Bowden,OV,6,Types,Fewer than 50 persons,From 50 to 99 persons,From 100 to 199 persons,From 200 to 399 persons,"From 400 to 1,000 persons","More than 1,000 persons in the absence of indigenous urban aggregations","One or more indigenous towns of more than 5,000 inhabitants but none of more than 50,000",NA,Bowden,Kwoma,Kwoma,kmo,kwom1262,Manambu,Manambu,mle,mana1298,Kwoma-Manambu,kmo-mle,kwom1262-mana1298,North Coast New Guinea,"EK, OR"
